image_id,filename,filepath,valid,width,height,format,file_size_kb,error,blur_score,blur_status,duplicate_group,keep_image,hash_distance,brightness,contrast,exposure_status,selected_for_colmap
269,frame_000268.jpg,data\extracted_frames\shoe\frame_000268.jpg,True,1920,1080,JPEG,379.3,,29.86,kept,216,False,2,148.1,47.08,normal,False
270,frame_000269.jpg,data\extracted_frames\shoe\frame_000269.jpg,True,1920,1080,JPEG,389.71,,33.62,kept,216,False,4,148.93,46.13,normal,False
271,frame_000270.jpg,data\extracted_frames\shoe\frame_000270.jpg,True,1920,1080,JPEG,329.89,,18.97,rejected,217,True,10,150.74,44.63,normal,False
272,frame_000271.jpg,data\extracted_frames\shoe\frame_000271.jpg,True,1920,1080,JPEG,367.32,,23.37,rejected,218,True,10,153.75,42.77,normal,False
273,frame_000272.jpg,data\extracted_frames\shoe\frame_000272.jpg,True,1920,1080,JPEG,390.03,,28.84,kept,219,True,10,156.85,43.53,normal,True
274,frame_000273.jpg,data\extracted_frames\shoe\frame_000273.jpg,True,1920,1080,JPEG,339.11,,16.3,rejected,220,True,14,161.38,45.16,normal,False
275,frame_000274.jpg,data\extracted_frames\shoe\frame_000274.jpg,True,1920,1080,JPEG,376.9,,22.75,rejected,221,True,14,163.76,46.52,normal,False
276,frame_000275.jpg,data\extracted_frames\shoe\frame_000275.jpg,True,1920,1080,JPEG,369.85,,22.49,rejected,222,True,20,165.05,45.41,normal,False
277,frame_000276.jpg,data\extracted_frames\shoe\frame_000276.jpg,True,1920,1080,JPEG,337.05,,19.86,rejected,223,True,8,166.19,43.83,normal,False
278,frame_000277.jpg,data\extracted_frames\shoe\frame_000277.jpg,True,1920,1080,JPEG,369.22,,23.33,rejected,224,True,10,167.48,44.33,normal,False
279,frame_000278.jpg,data\extracted_frames\shoe\frame_000278.jpg,True,1920,1080,JPEG,382.12,,25.49,kept,225,True,6,167.94,44.0,normal,True
280,frame_000279.jpg,data\extracted_frames\shoe\frame_000279.jpg,True,1920,1080,JPEG,338.14,,17.99,rejected,226,True,6,168.35,42.39,normal,False
281,frame_000280.jpg,data\extracted_frames\shoe\frame_000280.jpg,True,1920,1080,JPEG,348.43,,20.18,rejected,227,True,8,166.78,42.95,normal,False
282,frame_000281.jpg,data\extracted_frames\shoe\frame_000281.jpg,True,1920,1080,JPEG,364.74,,19.65,rejected,228,True,10,166.64,43.52,normal,False
283,frame_000282.jpg,data\extracted_frames\shoe\frame_000282.jpg,True,1920,1080,JPEG,337.06,,17.46,rejected,229,True,16,165.07,44.28,normal,False
284,frame_000283.jpg,data\extracted_frames\shoe\frame_000283.jpg,True,1920,1080,JPEG,389.97,,24.89,rejected,230,True,10,160.13,46.03,normal,False
285,frame_000284.jpg,data\extracted_frames\shoe\frame_000284.jpg,True,1920,1080,JPEG,389.59,,21.45,rejected,231,True,8,157.91,46.03,normal,False
286,frame_000285.jpg,data\extracted_frames\shoe\frame_000285.jpg,True,1920,1080,JPEG,357.34,,19.4,rejected,232,True,10,156.87,45.36,normal,False
287,frame_000286.jpg,data\extracted_frames\shoe\frame_000286.jpg,True,1920,1080,JPEG,380.22,,21.17,rejected,233,True,10,156.93,44.12,normal,False
288,frame_000287.jpg,data\extracted_frames\shoe\frame_000287.jpg,True,1920,1080,JPEG,397.38,,23.2,rejected,234,True,12,155.23,43.7,normal,False
289,frame_000288.jpg,data\extracted_frames\shoe\frame_000288.jpg,True,1920,1080,JPEG,354.68,,21.42,rejected,235,True,8,154.43,43.15,normal,False
290,frame_000289.jpg,data\extracted_frames\shoe\frame_000289.jpg,True,1920,1080,JPEG,370.09,,21.96,rejected,236,True,16,154.15,43.08,normal,False
291,frame_000290.jpg,data\extracted_frames\shoe\frame_000290.jpg,True,1920,1080,JPEG,387.45,,20.58,rejected,237,True,18,153.02,43.51,normal,False
292,frame_000291.jpg,data\extracted_frames\shoe\frame_000291.jpg,True,1920,1080,JPEG,359.34,,22.93,rejected,238,True,8,151.57,43.58,normal,False
293,frame_000292.jpg,data\extracted_frames\shoe\frame_000292.jpg,True,1920,1080,JPEG,395.78,,30.29,kept,239,True,8,148.92,45.08,normal,True
294,frame_000293.jpg,data\extracted_frames\shoe\frame_000293.jpg,True,1920,1080,JPEG,408.52,,29.6,kept,240,True,8,149.17,46.28,normal,True
295,frame_000294.jpg,data\extracted_frames\shoe\frame_000294.jpg,True,1920,1080,JPEG,367.67,,23.19,rejected,240,False,4,150.13,46.76,normal,False
296,frame_000295.jpg,data\extracted_frames\shoe\frame_000295.jpg,True,1920,1080,JPEG,387.87,,28.06,kept,241,True,8,154.77,48.49,normal,True
297,frame_000296.jpg,data\extracted_frames\shoe\frame_000296.jpg,True,1920,1080,JPEG,409.07,,29.49,kept,242,True,12,155.31,49.97,normal,True
298,frame_000297.jpg,data\extracted_frames\shoe\frame_000297.jpg,True,1920,1080,JPEG,384.64,,41.1,kept,243,True,14,154.44,50.08,normal,True
299,frame_000298.jpg,data\extracted_frames\shoe\frame_000298.jpg,True,1920,1080,JPEG,398.67,,39.85,kept,244,True,18,150.72,49.77,normal,True
300,frame_000299.jpg,data\extracted_frames\shoe\frame_000299.jpg,True,1920,1080,JPEG,384.92,,27.29,kept,244,False,4,150.05,49.84,normal,False
301,frame_000300.jpg,data\extracted_frames\shoe\frame_000300.jpg,True,1920,1080,JPEG,374.22,,41.44,kept,245,True,16,148.59,49.58,normal,True
302,frame_000301.jpg,data\extracted_frames\shoe\frame_000301.jpg,True,1920,1080,JPEG,409.79,,33.8,kept,246,True,8,144.68,50.46,normal,True
303,frame_000302.jpg,data\extracted_frames\shoe\frame_000302.jpg,True,1920,1080,JPEG,434.06,,47.58,kept,246,False,4,143.98,50.43,normal,False
304,frame_000303.jpg,data\extracted_frames\shoe\frame_000303.jpg,True,1920,1080,JPEG,409.06,,50.98,kept,246,False,2,143.34,50.74,normal,False
305,frame_000304.jpg,data\extracted_frames\shoe\frame_000304.jpg,True,1920,1080,JPEG,435.64,,50.86,kept,247,True,6,141.59,51.21,normal,True
306,frame_000305.jpg,data\extracted_frames\shoe\frame_000305.jpg,True,1920,1080,JPEG,447.67,,55.14,kept,248,True,10,140.39,52.51,normal,True
307,frame_000306.jpg,data\extracted_frames\shoe\frame_000306.jpg,True,1920,1080,JPEG,409.26,,50.94,kept,248,False,2,139.58,52.82,normal,False
308,frame_000307.jpg,data\extracted_frames\shoe\frame_000307.jpg,True,1920,1080,JPEG,437.15,,51.89,kept,248,False,2,139.29,53.38,normal,False
309,frame_000308.jpg,data\extracted_frames\shoe\frame_000308.jpg,True,1920,1080,JPEG,443.31,,53.01,kept,249,True,6,138.96,53.48,normal,True
310,frame_000309.jpg,data\extracted_frames\shoe\frame_000309.jpg,True,1920,1080,JPEG,391.52,,41.03,kept,249,False,4,139.22,53.55,normal,False
